#BenchmarkName Provenance NumResources AntiChainLength
puppet-mosh github.com/garthk/puppet-mosh 4 3
puppet-monit github.com/dhoppe/puppet-monit 5 3
vagrant-cakephp github.com/jordanyaker/vagrant-cakephp 14 3
devbox-vagrant github.com/sstutz/devbox-vagrant 72 33
vagrantpress github.com/onyxedgestudios/vagrantpress 46 39
puppet-bind github.com/thias/puppet-bind 3 1
puppet-sudo github.com/dhoppe/puppet-sudo 5 4
puppet-rbenv github.com/justindowning/puppet-rbenv 11 9
puppet-git github.com/nesi/puppet-git 3 3
shiny-server-on-ubuntu github.com/leondutoit/shiny-server-on-ubuntu/tree/83df588a39d1f8476e38aba01e38f8a2a5474122 23 9
puppet-manifests github.com/nefarioustim/puppet-manifests/tree/279437170d17717f2f6f64088f1a83a48699b191 44 13
aws-ec2-mysql-webserver github.com/mikecanz/aws-ec2-puppet 164 161
aws-ec2-mongodb-devserver github.com/mikecanz/aws-ec2-puppet 154 151
aws-ec2-webserver-nginx-php github.com/mikecanz/aws-ec2-puppet 150 147
aws-ec2-webserver-nginx github.com/mikecanz/aws-ec2-puppet 135 133
aws-ec2-webserver-httpd github.com/mikecanz/aws-ec2-puppet 159 157
aws-ec2-webserver-httpd24-php54 github.com/mikecanz/aws-ec2-puppet 154 150
aws-ec2-gearman-worker-nodejs github.com/mikecanz/aws-ec2-puppet 130 129
aws-ec2-gearman-master github.com/mikecanz/aws-ec2-puppet 132 130
aws-ec2-db-mysql github.com/mikecanz/aws-ec2-puppet 133 131
aws-ec2-db-mongo github.com/mikecanz/aws-ec2-puppet 134 132
aws-ec2-yum-master github.com/mikecanz/aws-ec2-puppet 145 142
aws-ec2-build-master github.com/mikecanz/aws-ec2-puppet 130 129
aws-ec2-admin github.com/mikecanz/aws-ec2-puppet 138 137
aws-ec2-ganglia github.com/mikecanz/aws-ec2-puppet 136 135
ethereum-environments github.com/ethersphere/ethereum-environments 31 17
federated-wiki github.com/cloudsmith/federated-wiki 33 15
percona-cluster github.com/lefred/percona-cluster 11 7
puppet-haproxy github.com/glarizza/puppet-haproxy 3 2
puppetlabs-xinetd github.com/puppetlabs/puppetlabs-xinetd 4 3
puppet-rvm github.com/blt04/puppet-rvm 19 18
puppet-vim github.com/saz/puppet-vim 3 2
tomas-edwardsson github.com/tomas-edwardsson/my-fedora-desktop 85 74
vagrant-dev-apache <unknown> 28 16
vagrant-dev-default <unknown> 14 12
vagrant-dev-nginx <unknown> 27 15
vagrant-kitabu github.com/mindreframer/vagrant-kitabu 23 3
vagrant-lemonstand github.com/lemonoid/vagrant-lemonstand 35 23
vagrant-percona-client github.com/jayjanssen/vagrant-percona 25 13
vagrant-percona-mha-manager github.com/jayjanssen/vagrant-percona 36 13
vagrant-percona-mha-node github.com/jayjanssen/vagrant-percona 35 17
vagrant-percona-server github.com/jayjanssen/vagrant-percona 33 18
vagrant-percona-pxc github.com/jayjanssen/vagrant-percona 35 15
yoxos github.com/cloudsmith/yoxos 43 22
redis-multinode github.com/shanemadden/shanemadden-redis_multinode 31 13
yorrick github.com/yorrick/puppet 32 27
